Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2018-03-23,Battleship,2012,https://letterboxd.com/forrestdiamond/film/battleship/,2,,action,2016-12-18
2018-03-23,Rogue One: A Star Wars Story,2016,https://letterboxd.com/forrestdiamond/film/rogue-one-a-star-wars-story/1/,3,,"star-wars, science-fiction",2016-12-19
2018-03-23,Commando,1985,https://letterboxd.com/forrestdiamond/film/commando/,5,,action,2017-02-04
2018-03-23,John Wick,2014,https://letterboxd.com/forrestdiamond/film/john-wick/,4,,action,2017-02-10
2018-03-23,Arrival,2016,https://letterboxd.com/forrestdiamond/film/arrival-2016/,4,,science-fiction,2017-02-11
2018-03-23,Finding Dory,2016,https://letterboxd.com/forrestdiamond/film/finding-dory/,4,,animated,2017-02-19
2018-03-23,Big Trouble in Little China,1986,https://letterboxd.com/forrestdiamond/film/big-trouble-in-little-china/,3,,,2017-02-19
2018-03-23,The Accountant,2016,https://letterboxd.com/forrestdiamond/film/the-accountant-2016/,2,,action,2017-02-20
2018-03-23,Superman Returns,2006,https://letterboxd.com/forrestdiamond/film/superman-returns/,1,,superhero,2017-02-22
2018-03-23,Demolition Man,1993,https://letterboxd.com/forrestdiamond/film/demolition-man/,4,,action,2017-02-23
2018-03-23,The Hobbit: The Battle of the Five Armies,2014,https://letterboxd.com/forrestdiamond/film/the-hobbit-the-battle-of-the-five-armies/,2,,"fantasy, lotr",2017-02-25
2018-03-23,Guardians of the Galaxy,2014,https://letterboxd.com/forrestdiamond/film/guardians-of-the-galaxy/1/,4,,"mcu, superhero",2017-02-26
2018-03-23,Passengers,2016,https://letterboxd.com/forrestdiamond/film/passengers-2016/,2,,science-fiction,2017-03-06
2018-03-23,Doctor Strange,2016,https://letterboxd.com/forrestdiamond/film/doctor-strange-2016/,3,,"mcu, superhero",2017-03-07
2018-03-23,Jack Reacher: Never Go Back,2016,https://letterboxd.com/forrestdiamond/film/jack-reacher-never-go-back/,2,,"action, sequel",2017-03-07
2018-03-23,X-Men: Days of Future Past,2014,https://letterboxd.com/forrestdiamond/film/x-men-days-of-future-past/,2,,"superho, x-men",2017-03-11
2018-03-23,The Ghost Writer,2010,https://letterboxd.com/forrestdiamond/film/the-ghost-writer/,4,,"thriller, roman-polanski",2017-03-12
2018-03-23,X-Men: Apocalypse,2016,https://letterboxd.com/forrestdiamond/film/x-men-apocalypse/,2,,"superhero, x-men",2017-03-13
2018-03-23,Spy,2015,https://letterboxd.com/forrestdiamond/film/spy/,5,,comedy,2017-03-24
2018-03-23,Keanu,2016,https://letterboxd.com/forrestdiamond/film/keanu/,3,,comedy,2017-03-25
2018-03-23,Ghost in the Shell,1995,https://letterboxd.com/forrestdiamond/film/ghost-in-the-shell/,4,,"science-fiction, dystopian, foreign, japanese",2017-03-31
2018-03-23,Jack Ryan: Shadow Recruit,2014,https://letterboxd.com/forrestdiamond/film/jack-ryan-shadow-recruit/,2,,action,2017-04-08
2018-03-23,Ant-Man,2015,https://letterboxd.com/forrestdiamond/film/ant-man/,4,,"mcu, superhero",2017-04-23
2018-03-23,Man of Tai Chi,2013,https://letterboxd.com/forrestdiamond/film/man-of-tai-chi/,3,,kung-fu,2017-04-29
2018-03-23,Lucky Number Slevin,2006,https://letterboxd.com/forrestdiamond/film/lucky-number-slevin/,2,Yes,,2017-05-24
2018-03-23,Jack Reacher,2012,https://letterboxd.com/forrestdiamond/film/jack-reacher/,3,,action,2017-05-25
2018-03-23,Guardians of the Galaxy,2014,https://letterboxd.com/forrestdiamond/film/guardians-of-the-galaxy/,4,,"mcu, superhero",2017-06-11
2018-03-23,Lucy,2014,https://letterboxd.com/forrestdiamond/film/lucy-2014/,2,,,2017-06-12
2018-03-23,Suicide Squad,2016,https://letterboxd.com/forrestdiamond/film/suicide-squad-2016/,2,,"dccu, superhero",2017-06-20
2018-03-23,Escape from New York,1981,https://letterboxd.com/forrestdiamond/film/escape-from-new-york/,2,,,2017-06-22
2018-03-23,Sherlock Holmes: A Game of Shadows,2011,https://letterboxd.com/forrestdiamond/film/sherlock-holmes-a-game-of-shadows/,4,,action,2017-06-25
2018-03-23,Kong: Skull Island,2017,https://letterboxd.com/forrestdiamond/film/kong-skull-island/,2,,action,2017-06-28
2018-03-23,Captain America: Civil War,2016,https://letterboxd.com/forrestdiamond/film/captain-america-civil-war/,3,,"mcu, superhero",2017-06-29
2018-03-23,John Wick: Chapter 2,2017,https://letterboxd.com/forrestdiamond/film/john-wick-chapter-2/,4,,action,2017-06-30
2018-03-23,Dance of the Drunk Mantis,1979,https://letterboxd.com/forrestdiamond/film/dance-of-the-drunk-mantis/,5,,"kung-fu, foreign",2017-07-04
2018-03-23,Point Blank,1967,https://letterboxd.com/forrestdiamond/film/point-blank/,4,,action,2017-07-14
2018-03-23,The Maze Runner,2014,https://letterboxd.com/forrestdiamond/film/the-maze-runner/,2,,young-adult,2017-07-16
2018-03-23,The Game,1997,https://letterboxd.com/forrestdiamond/film/the-game/,4,,"thriller, david-fincher",2017-07-19
2018-03-23,The Thin Red Line,1998,https://letterboxd.com/forrestdiamond/film/the-thin-red-line/,5,,war,2017-07-29
2018-03-23,Guardians of the Galaxy Vol. 2,2017,https://letterboxd.com/forrestdiamond/film/guardians-of-the-galaxy-vol-2/,4,,"mcu, superhero",2017-08-17
2018-03-23,Hunt for the Wilderpeople,2016,https://letterboxd.com/forrestdiamond/film/hunt-for-the-wilderpeople/,5,,"taika-watiti, coming-of-age",2017-08-17
2018-03-23,Train to Busan,2016,https://letterboxd.com/forrestdiamond/film/train-to-busan/,4,,"zombie, korean, foreign",2017-08-25
2018-03-23,Magic Mike,2012,https://letterboxd.com/forrestdiamond/film/magic-mike/,5,,,2017-08-26
2018-03-23,Alien: Covenant,2017,https://letterboxd.com/forrestdiamond/film/alien-covenant/1/,3,,"alien, prequel, ridley-scott",2017-08-26
2018-03-23,Moana,2016,https://letterboxd.com/forrestdiamond/film/moana-2016/,4,,"animated, musical",2017-08-28
2018-03-23,Ghost in the Shell,2017,https://letterboxd.com/forrestdiamond/film/ghost-in-the-shell-2017/,2,,"science-fiction, remake",2017-09-02
2018-03-23,Alien: Covenant,2017,https://letterboxd.com/forrestdiamond/film/alien-covenant/,3,,"science-fiction, alien, prequel, ridley-scott",2017-09-02
2018-03-23,Logan Lucky,2017,https://letterboxd.com/forrestdiamond/film/logan-lucky/,4,,heist,2017-09-04
2018-03-23,xXx: Return of Xander Cage,2017,https://letterboxd.com/forrestdiamond/film/xxx-return-of-xander-cage/,4,,action,2017-09-09
2018-03-23,King Arthur: Legend of the Sword,2017,https://letterboxd.com/forrestdiamond/film/king-arthur-legend-of-the-sword/,1,,,2017-09-09
2018-03-23,The Mummy,2017,https://letterboxd.com/forrestdiamond/film/the-mummy-2017/,2,,,2017-09-09
2018-03-23,Baby Driver,2017,https://letterboxd.com/forrestdiamond/film/baby-driver/,4,,heist,2017-09-14
2018-03-23,Cloud Atlas,2012,https://letterboxd.com/forrestdiamond/film/cloud-atlas/,4,,,2017-09-14
