Date,Name,Year,Letterboxd URI
2018-03-23,Hard Boiled,1992,https://letterboxd.com/film/hard-boiled/
2018-03-23,Everybody Wants Some!!,2016,https://letterboxd.com/film/everybody-wants-some/
2018-03-23,Ip Man,2008,https://letterboxd.com/film/ip-man/
2018-03-23,The Baader Meinhof Complex,2008,https://letterboxd.com/film/the-baader-meinhof-complex/
2018-03-23,Deadpool,2016,https://letterboxd.com/film/deadpool/
2018-03-23,Man of Steel,2013,https://letterboxd.com/film/man-of-steel/
2018-03-23,Minority Report,2002,https://letterboxd.com/film/minority-report/
2018-03-23,Hot Rod,2007,https://letterboxd.com/film/hot-rod/
2018-03-23,Trumbo,2015,https://letterboxd.com/film/trumbo/
2018-03-23,Hitman: Agent 47,2015,https://letterboxd.com/film/hitman-agent-47/
2018-03-23,Spotlight,2015,https://letterboxd.com/film/spotlight/
2018-03-23,The Big Short,2015,https://letterboxd.com/film/the-big-short/
2018-03-23,Dope,2015,https://letterboxd.com/film/dope-2015/
2018-03-23,Léon: The Professional,1994,https://letterboxd.com/film/leon-the-professional/
2018-03-23,Attack the Block,2011,https://letterboxd.com/film/attack-the-block/
2018-03-23,Sin Nombre,2009,https://letterboxd.com/film/sin-nombre/
2018-03-23,Mission: Impossible - Ghost Protocol,2011,https://letterboxd.com/film/mission-impossible-ghost-protocol/
2018-03-23,The Warriors,1979,https://letterboxd.com/film/the-warriors/
2018-03-23,Manhunter,1986,https://letterboxd.com/film/manhunter/
2018-03-23,"The Good, the Bad and the Ugly",1966,https://letterboxd.com/film/the-good-the-bad-and-the-ugly/
2018-03-23,Beasts of No Nation,2015,https://letterboxd.com/film/beasts-of-no-nation/
2018-03-23,Safety Not Guaranteed,2012,https://letterboxd.com/film/safety-not-guaranteed/
2018-03-23,Edge of Tomorrow,2014,https://letterboxd.com/film/edge-of-tomorrow/
2018-03-23,The Prestige,2006,https://letterboxd.com/film/the-prestige/
2018-03-23,Gamer,2009,https://letterboxd.com/film/gamer/
2018-03-23,Jin-Roh: The Wolf Brigade,1999,https://letterboxd.com/film/jin-roh-the-wolf-brigade/
2018-03-23,The Revenant,2015,https://letterboxd.com/film/the-revenant-2015/
