Date,Name,Year,Letterboxd URI,Rating
2018-11-27,Sorry to Bother You,2018,https://boxd.it/f21E,4
2018-12-02,Venom,2018,https://boxd.it/b8wA,3
2018-12-02,Mile 22,2018,https://boxd.it/bEwM,1
2018-12-06,Peppermint,2018,https://boxd.it/gnOE,2
2018-12-29,Bad Times at the El Royale,2018,https://boxd.it/fSA2,4
2018-12-31,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.5
2018-12-31,Gringo,2018,https://boxd.it/bj4C,2.5
2019-01-05,The Predator,2018,https://boxd.it/bDw2,3
2019-01-05,BlacKkKlansman,2018,https://boxd.it/hxL8,3
2019-01-10,Mandy,2018,https://boxd.it/gtti,3
2019-01-13,Split,2016,https://boxd.it/dgSy,4
2019-01-20,Total Recall,1990,https://boxd.it/29qK,3.5
2019-01-22,Next,2007,https://boxd.it/28bY,1.5
2019-01-24,The Commuter,2018,https://boxd.it/dZ36,2
2019-01-26,Paddington,2014,https://boxd.it/3RKw,4.5
2019-01-26,Widows,2018,https://boxd.it/e6gc,3.5
2019-01-27,The Standoff at Sparrow Creek,2018,https://boxd.it/iJ9M,4
2019-01-27,Aquaman,2018,https://boxd.it/9ru0,2.5
2019-01-28,Witness,1985,https://boxd.it/1Z4O,3.5
2019-02-06,Paddington 2,2017,https://boxd.it/bCF8,4
2019-02-17,Raising Arizona,1987,https://boxd.it/2avQ,3.5
2019-02-18,Inherent Vice,2014,https://boxd.it/5hla,3
2019-02-18,Kiss Kiss Bang Bang,2005,https://boxd.it/23c8,4
2019-02-19,The Favourite,2018,https://boxd.it/d2hI,3
2019-02-20,Braven,2018,https://boxd.it/grxM,3
2019-02-26,Bloodsport,1988,https://boxd.it/1Tee,2.5
2019-03-09,Heat,1995,https://boxd.it/2bg8,4.5
2019-03-09,Doom,2005,https://boxd.it/1ZOW,2
2019-03-10,The Emperor's New Groove,2000,https://boxd.it/1Tey,4.5
2019-03-14,Hot Fuzz,2007,https://boxd.it/2416,3.5
2019-03-16,The Crew,2015,https://boxd.it/dLNO,3
2019-03-17,Hell or High Water,2016,https://boxd.it/bfGM,4.5
2019-03-17,As Good as It Gets,1997,https://boxd.it/268y,3.5
2019-03-21,The Fugitive,1993,https://boxd.it/230G,4
2019-03-21,Overlord,2018,https://boxd.it/fAwm,3.5
2019-03-22,Destroyer,2018,https://boxd.it/gU4u,3.5
2019-03-23,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
2019-03-28,Akira,1988,https://boxd.it/2b1i,4.5
2019-04-05,Bumblebee,2018,https://boxd.it/f21O,1.5
2019-04-12,The Man from Nowhere,2010,https://boxd.it/AZy,3
2019-04-17,Ocean's Eleven,2001,https://boxd.it/2aZm,5
2019-04-19,Ocean's Twelve,2004,https://boxd.it/2aZ2,2
2019-04-21,Ocean's Thirteen,2007,https://boxd.it/2aEy,3
2019-05-01,Captain Marvel,2019,https://boxd.it/9vSA,4
2019-05-02,Avengers: Endgame,2019,https://boxd.it/9vE4,2
2019-05-03,Glass,2019,https://boxd.it/g3uO,2.5
2019-05-05,Shadow,2018,https://boxd.it/gzLi,3.5
2019-05-07,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,3
2019-05-12,Shaft,1971,https://boxd.it/2ais,2
2019-05-13,Shaft,2000,https://boxd.it/2aiW,1
2019-05-14,Cold Pursuit,2019,https://boxd.it/fA80,2
2019-05-17,Serenity,2019,https://boxd.it/g9sk,1.5
2019-05-23,Fantastic Beasts: The Crimes of Grindelwald,2018,https://boxd.it/bg8G,1.5
2019-05-23,Toy Story 2,1999,https://boxd.it/29qq,4
2019-05-26,Robin Hood,2018,https://boxd.it/d3bc,1.5
2019-05-26,Toy Story 3,2010,https://boxd.it/1WRe,5
2019-05-27,Point Break,1991,https://boxd.it/2958,4
