Date,Name,Year,Letterboxd URI
2019-01-25,First Blood,1982,https://letterboxd.com/film/first-blood/
2019-01-25,The Insider,1999,https://letterboxd.com/film/the-insider/
2019-01-25,Bronson,2008,https://letterboxd.com/film/bronson/
2019-01-25,Yojimbo,1961,https://letterboxd.com/film/yojimbo/
2019-01-25,Le Cercle Rouge,1970,https://letterboxd.com/film/le-cercle-rouge/
2019-01-27,Smokin' Aces,2006,https://letterboxd.com/film/smokin-aces/
2019-02-06,The Battle of Algiers,1966,https://letterboxd.com/film/the-battle-of-algiers/
2019-02-26,King Arthur: Legend of the Sword,2017,https://letterboxd.com/film/king-arthur-legend-of-the-sword/
2019-02-26,First Reformed,2017,https://letterboxd.com/film/first-reformed/
2019-02-26,White Rabbit,2018,https://letterboxd.com/film/white-rabbit-2018/
2019-02-26,Assassination Nation,2018,https://letterboxd.com/film/assassination-nation/
2019-02-26,Anchor and Hope,2017,https://letterboxd.com/film/anchor-and-hope/
2019-03-11,Furie,2019,https://letterboxd.com/film/furie/
2019-03-21,Contagion,2011,https://letterboxd.com/film/contagion-2011/
2019-04-05,Columbus,2017,https://letterboxd.com/film/columbus-2017/
2019-04-17,Ramen Shop,2018,https://letterboxd.com/film/ramen-shop/
2019-04-19,The Cannonball Run,1981,https://letterboxd.com/film/the-cannonball-run/
2019-04-19,Fast & Furious Presents: Hobbs & Shaw,2019,https://letterboxd.com/film/fast-furious-presents-hobbs-shaw/
2019-04-30,Booksmart,2019,https://letterboxd.com/film/booksmart/
2019-05-03,Rampage,2009,https://letterboxd.com/film/rampage/
2019-05-03,Blinded by the Light,2019,https://letterboxd.com/film/blinded-by-the-light-2019/
2019-05-04,Shaft,2019,https://letterboxd.com/film/shaft-2019/
2019-05-08,Boyz n the Hood,1991,https://letterboxd.com/film/boyz-n-the-hood/
2019-05-08,Do the Right Thing,1989,https://letterboxd.com/film/do-the-right-thing/
2019-05-08,Stand by Me,1986,https://letterboxd.com/film/stand-by-me/
2019-05-17,Always Be My Maybe,2019,https://letterboxd.com/film/always-be-my-maybe-2019/
2019-05-17,A Most Violent Year,2014,https://letterboxd.com/film/a-most-violent-year/
2019-05-18,The Last Black Man in San Francisco,2019,https://letterboxd.com/film/the-last-black-man-in-san-francisco/
2019-05-22,Ex Machina,2014,https://letterboxd.com/film/ex-machina-2014/
2019-05-22,Inside Out,2015,https://letterboxd.com/film/inside-out-2015/
2019-05-22,Inception,2010,https://letterboxd.com/film/inception/
2019-05-23,The Nightingale,2018,https://letterboxd.com/film/the-nightingale-2018/
2019-05-23,The Art of Self-Defense,2019,https://letterboxd.com/film/the-art-of-self-defense-2019/
2019-05-23,The Package,2018,https://letterboxd.com/film/the-package-2018/
2019-05-26,Parasite,2019,https://letterboxd.com/film/parasite-2019/
2019-05-26,True Romance,1993,https://letterboxd.com/film/true-romance/
2019-05-27,Once Upon a Time in Venice,2017,https://letterboxd.com/film/once-upon-a-time-in-venice/
2019-05-30,They Shall Not Grow Old,2018,https://letterboxd.com/film/they-shall-not-grow-old/
2019-05-31,Children of Men,2006,https://letterboxd.com/film/children-of-men/
2019-06-05,Luce,2019,https://letterboxd.com/film/luce/
2019-06-08,Night Hunter,2018,https://letterboxd.com/film/night-hunter-2018/
2019-06-09,Delinquent Girl Boss: Worthless to Confess,1971,https://letterboxd.com/film/delinquent-girl-boss-worthless-to-confess/
2019-06-09,Sex and Fury,1973,https://letterboxd.com/film/film:38926/
2019-06-10,Meet the Robinsons,2007,https://letterboxd.com/film/meet-the-robinsons/
2019-06-11,Brave,2012,https://letterboxd.com/film/brave-2012/
2019-06-11,Up,2009,https://letterboxd.com/film/up/
2019-06-11,Monsters University,2013,https://letterboxd.com/film/monsters-university/
2019-06-11,Cars,2006,https://letterboxd.com/film/cars/
2019-06-13,Escape Plan,2013,https://letterboxd.com/film/escape-plan/
2019-06-17,Man on Fire,2004,https://letterboxd.com/film/man-on-fire-2004/
2019-06-17,Enemy of the State,1998,https://letterboxd.com/film/enemy-of-the-state/
2019-06-17,The Last Boy Scout,1991,https://letterboxd.com/film/the-last-boy-scout/
2019-06-17,Domino,2005,https://letterboxd.com/film/domino/
2019-06-17,Spy Game,2001,https://letterboxd.com/film/spy-game/
2019-06-17,Gladiator,2000,https://letterboxd.com/film/gladiator-2000/
2019-06-17,Prometheus,2012,https://letterboxd.com/film/prometheus/
2019-06-17,Murder on the Orient Express,2017,https://letterboxd.com/film/murder-on-the-orient-express-2017/
2019-06-17,The Assassination of Jesse James by the Coward Robert Ford,2007,https://letterboxd.com/film/the-assassination-of-jesse-james-by-the-coward-robert-ford/
2019-06-17,Thelma & Louise,1991,https://letterboxd.com/film/thelma-louise/
2019-06-17,Hannibal,2001,https://letterboxd.com/film/hannibal/
2019-06-17,Body of Lies,2008,https://letterboxd.com/film/body-of-lies/
2019-06-17,Child 44,2015,https://letterboxd.com/film/child-44/
2019-06-17,The Andromeda Strain,2008,https://letterboxd.com/film/the-andromeda-strain-2008/
2019-06-17,Fargo,1996,https://letterboxd.com/film/fargo/
2019-06-17,The Big Lebowski,1998,https://letterboxd.com/film/the-big-lebowski/
2019-06-17,Inside Llewyn Davis,2013,https://letterboxd.com/film/inside-llewyn-davis/
2019-06-17,True Grit,2010,https://letterboxd.com/film/true-grit-2010/
2019-06-17,"O Brother, Where Art Thou?",2000,https://letterboxd.com/film/o-brother-where-art-thou/
2019-06-17,Dead Poets Society,1989,https://letterboxd.com/film/dead-poets-society/
2019-06-17,Toy Story,1995,https://letterboxd.com/film/toy-story/
2019-06-22,Das Boot,1981,https://letterboxd.com/film/das-boot/
2019-06-25,Queen & Slim,2019,https://letterboxd.com/film/queen-slim/
2019-07-03,Knives Out,2019,https://letterboxd.com/film/knives-out-2019/
2019-07-03,Jumanji: Welcome to the Jungle,2017,https://letterboxd.com/film/jumanji-welcome-to-the-jungle/
2019-07-03,Jumanji: The Next Level,2019,https://letterboxd.com/film/jumanji-the-next-level/
2019-07-09,The Losers,2010,https://letterboxd.com/film/the-losers/
2019-07-09,The Iceman,2012,https://letterboxd.com/film/the-iceman/
2019-07-09,Gifted,2017,https://letterboxd.com/film/gifted-2017/
2019-07-09,Scott Pilgrim vs. the World,2010,https://letterboxd.com/film/scott-pilgrim-vs-the-world/
2019-07-09,Not Another Teen Movie,2001,https://letterboxd.com/film/not-another-teen-movie/
2019-07-09,Fantastic Four: Rise of the Silver Surfer,2007,https://letterboxd.com/film/fantastic-four-rise-of-the-silver-surfer/
2019-07-09,Sunshine,2007,https://letterboxd.com/film/sunshine-2007/
2019-07-09,Fantastic Four,2005,https://letterboxd.com/film/fantastic-four-2005/
2019-07-09,Snowpiercer,2013,https://letterboxd.com/film/snowpiercer/
2019-07-09,Thor: The Dark World,2013,https://letterboxd.com/film/thor-the-dark-world/
2019-07-09,No Time To Die,2020,https://letterboxd.com/film/no-time-to-die-2020/
2019-07-09,Avengers: Age of Ultron,2015,https://letterboxd.com/film/avengers-age-of-ultron/
2019-07-09,The Avengers,2012,https://letterboxd.com/film/the-avengers-2012/
2019-07-09,Hot Tub Time Machine,2010,https://letterboxd.com/film/hot-tub-time-machine/
2019-07-09,Black Swan,2010,https://letterboxd.com/film/black-swan/
2019-07-09,The Martian,2015,https://letterboxd.com/film/the-martian/
2019-07-09,The Fate of the Furious,2017,https://letterboxd.com/film/the-fate-of-the-furious/
2019-07-09,Furious 7,2015,https://letterboxd.com/film/furious-7/
2019-07-09,Fast Five,2011,https://letterboxd.com/film/fast-five/
2019-07-09,Fast & Furious 6,2013,https://letterboxd.com/film/fast-furious-6/
2019-07-09,Baywatch,2017,https://letterboxd.com/film/baywatch/
2019-07-09,The Other Guys,2010,https://letterboxd.com/film/the-other-guys/
2019-07-09,Izzy Gets the F*ck Across Town,2017,https://letterboxd.com/film/izzy-gets-the-fck-across-town/
2019-07-09,The Girl in the Spider's Web,2018,https://letterboxd.com/film/the-girl-in-the-spiders-web/
2019-07-09,Straight Outta Compton,2015,https://letterboxd.com/film/straight-outta-compton/
2019-07-09,Short Term 12,2013,https://letterboxd.com/film/short-term-12-2013/
2019-07-09,Casino Royale,2006,https://letterboxd.com/film/casino-royale-2006/
2019-07-09,The Girl with the Dragon Tattoo,2011,https://letterboxd.com/film/the-girl-with-the-dragon-tattoo-2011/
2019-07-09,Skyfall,2012,https://letterboxd.com/film/skyfall/
2019-07-09,Quantum of Solace,2008,https://letterboxd.com/film/quantum-of-solace/
2019-07-09,Training Day,2001,https://letterboxd.com/film/training-day/
2019-07-09,Malcolm X,1992,https://letterboxd.com/film/malcolm-x-1992/
2019-07-09,Philadelphia,1993,https://letterboxd.com/film/philadelphia/
2019-07-09,Don't Think Twice,2016,https://letterboxd.com/film/dont-think-twice/
2019-07-09,In the Loop,2009,https://letterboxd.com/film/in-the-loop/
